epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.205,2.01438,3.7365,2.3191,0.66004,0.16024,0.05483,0.0295,3.82433,4.77839,5.22448,0.000236592,0.000236592,0.000236592
2,688.232,1.60119,3.15692,1.98132,0.82878,0.14725,0.162,0.08757,3.89926,4.78782,6.15831,0.000470676,0.000470676,0.000470676
3,1026.83,1.56392,2.96692,1.94183,0.73523,0.1854,0.1667,0.09717,3.82918,3.76626,5.85846,0.000700834,0.000700834,0.000700834
4,1359.01,1.54279,2.8275,1.91292,0.72684,0.23171,0.22371,0.12754,3.86834,3.82118,6.62273,0.000696328,0.000696328,0.000696328
5,1685.92,1.5023,2.68753,1.87687,0.77783,0.18621,0.19609,0.09202,3.7757,3.43445,5.97996,0.000690438,0.000690438,0.000690438
6,2012.24,1.48296,2.65397,1.86052,0.7409,0.24817,0.1915,0.09786,3.87092,2.87937,5.95492,0.000684548,0.000684548,0.000684548
7,2338.01,1.45037,2.59433,1.83638,0.7489,0.28505,0.18471,0.10843,3.84665,3.72456,6.33413,0.000678657,0.000678657,0.000678657
8,2662.86,1.42254,2.50379,1.80702,0.73801,0.22585,0.20501,0.13652,3.82999,3.18291,6.10587,0.000672767,0.000672767,0.000672767
9,2987.44,1.41059,2.46501,1.79886,0.73634,0.25607,0.18173,0.10924,3.74108,3.29155,6.39781,0.000666876,0.000666876,0.000666876
10,3312.04,1.39404,2.44545,1.7813,0.55206,0.35828,0.31392,0.22597,3.75447,3.39138,6.33819,0.000660986,0.000660986,0.000660986
11,3637.18,1.39022,2.38091,1.77456,0.7943,0.22839,0.33162,0.21757,3.63063,2.86051,5.715,0.000655095,0.000655095,0.000655095
12,3961.8,1.35739,2.36931,1.75536,0.79808,0.27075,0.31671,0.24144,3.64918,2.72413,6.22641,0.000649204,0.000649204,0.000649204
13,4287.01,1.36643,2.36429,1.76141,0.78874,0.27068,0.30563,0.20081,3.83139,2.51964,6.11366,0.000643314,0.000643314,0.000643314
14,4611.58,1.37233,2.3414,1.75845,0.3777,0.39255,0.31334,0.22031,3.74784,2.759,5.76826,0.000637423,0.000637423,0.000637423
15,4936.35,1.35076,2.3018,1.7419,0.49908,0.39858,0.2247,0.15973,3.76845,2.66625,6.68057,0.000631533,0.000631533,0.000631533
16,5261.55,1.34196,2.27522,1.72636,0.76869,0.3218,0.27647,0.18482,3.60404,2.29351,6.27649,0.000625642,0.000625642,0.000625642
17,5586.42,1.32408,2.22864,1.71808,0.55857,0.39363,0.33616,0.23012,3.82164,2.33935,6.77516,0.000619752,0.000619752,0.000619752
18,5910.86,1.32777,2.22251,1.72112,0.29127,0.45194,0.28921,0.21113,3.57652,2.55552,5.78132,0.000613862,0.000613862,0.000613862
19,6235.59,1.29885,2.21844,1.69977,0.42113,0.62621,0.38999,0.27997,3.62766,2.4306,6.14831,0.000607971,0.000607971,0.000607971
20,6560.07,1.31974,2.18806,1.71144,0.28563,0.49638,0.32521,0.2273,3.61958,2.31591,6.44797,0.000602081,0.000602081,0.000602081
21,6884.73,1.29753,2.17253,1.68852,0.38905,0.42109,0.31931,0.23186,3.62467,2.37448,6.13942,0.00059619,0.00059619,0.00059619
22,7209.6,1.30787,2.1832,1.70969,0.51203,0.50155,0.34664,0.24815,3.62774,2.29285,6.831,0.0005903,0.0005903,0.0005903
23,7534.25,1.27649,2.11862,1.67401,0.33436,0.51896,0.3408,0.23722,3.65003,2.34109,6.58741,0.000584409,0.000584409,0.000584409
24,7859.13,1.26866,2.13535,1.67893,0.23704,0.60216,0.29935,0.20475,3.63754,2.53696,6.94486,0.000578519,0.000578519,0.000578519
25,8183.96,1.26542,2.10383,1.66208,0.36701,0.4296,0.31666,0.21666,3.59813,2.41364,6.72,0.000572628,0.000572628,0.000572628
26,8508.95,1.27687,2.12383,1.6724,0.30192,0.48142,0.2975,0.19609,3.72107,2.24942,6.90073,0.000566737,0.000566737,0.000566737
27,8833.74,1.26232,2.09748,1.66353,0.3304,0.58548,0.38495,0.25383,3.66199,2.23314,6.94933,0.000560847,0.000560847,0.000560847
28,9158.23,1.25218,2.05778,1.65424,0.55054,0.41266,0.37289,0.26968,3.69261,2.26695,6.83666,0.000554956,0.000554956,0.000554956
29,9482.65,1.24117,2.04303,1.64923,0.43934,0.62058,0.3897,0.26629,3.64302,2.27236,6.99754,0.000549066,0.000549066,0.000549066
30,9807.59,1.25672,2.03477,1.65415,0.28397,0.64023,0.40093,0.28357,3.59413,2.37147,7.18511,0.000543175,0.000543175,0.000543175
31,10132.3,1.23018,2.02424,1.63755,0.44314,0.55465,0.4088,0.30812,3.65117,2.15602,6.9879,0.000537285,0.000537285,0.000537285
32,10457.1,1.22719,2.03321,1.64878,0.27498,0.54144,0.34319,0.26607,3.62932,2.35168,7.02534,0.000531395,0.000531395,0.000531395
33,10782.4,1.236,2.03902,1.64957,0.31544,0.57104,0.35568,0.24609,3.58282,2.32142,6.34782,0.000525504,0.000525504,0.000525504
34,11107.1,1.21817,2.02322,1.6313,0.31402,0.64556,0.4688,0.32961,3.64867,2.36017,6.97371,0.000519613,0.000519613,0.000519613
35,11432,1.23255,1.98911,1.64194,0.46964,0.56554,0.42759,0.32365,3.50766,2.1337,6.74176,0.000513723,0.000513723,0.000513723
36,11757.2,1.21036,1.96924,1.61728,0.29155,0.59709,0.4032,0.27932,3.55867,2.04715,7.43599,0.000507833,0.000507833,0.000507833
37,12082.2,1.20638,1.96279,1.62181,0.29328,0.53897,0.36606,0.2812,3.52446,2.24076,7.20581,0.000501942,0.000501942,0.000501942
38,12407.2,1.20549,1.95455,1.61535,0.48202,0.53885,0.47643,0.34491,3.58448,2.01848,7.15702,0.000496052,0.000496052,0.000496052
