epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408,1.95239,3.79279,2.27678,0.48062,0.20333,0.12969,0.06503,3.50501,4.64692,4.60915,0.00023685,0.00023685,0.00023685
2,806.22,1.56737,3.26442,1.95602,0.42275,0.14087,0.09479,0.04761,3.76754,4.45671,5.46807,0.000467015,0.000467015,0.000467015
3,1203.7,1.56783,3.06525,1.93216,0.3509,0.29,0.11538,0.06125,3.77875,4.77363,5.64339,0.000689326,0.000689326,0.000689326
4,1599.11,1.51479,2.89527,1.88532,0.36455,0.31458,0.28178,0.16804,3.74372,3.057,5.68704,0.000678657,0.000678657,0.000678657
5,1994.59,1.48431,2.75821,1.84722,0.45737,0.33926,0.19501,0.10906,3.62516,3.21971,5.56639,0.000666876,0.000666876,0.000666876
6,2389.85,1.46929,2.68231,1.82865,0.41174,0.35266,0.25393,0.1528,3.70937,4.02014,6.67984,0.000655095,0.000655095,0.000655095
7,2785.33,1.43258,2.63731,1.797,0.31235,0.37022,0.25253,0.14333,3.63868,3.2582,6.6298,0.000643314,0.000643314,0.000643314
8,3180.47,1.4223,2.57017,1.79328,0.57875,0.39911,0.36219,0.24153,3.60276,2.92724,6.21408,0.000631533,0.000631533,0.000631533
9,3576.27,1.40987,2.5056,1.77156,0.42954,0.46919,0.39669,0.24477,3.62382,3.20132,6.01309,0.000619752,0.000619752,0.000619752
10,3971.09,1.38751,2.43819,1.75896,0.57359,0.34719,0.39657,0.27381,3.64537,2.77404,6.70701,0.000607971,0.000607971,0.000607971
11,4366.51,1.36968,2.42702,1.74993,0.38611,0.4359,0.32139,0.22836,3.60029,2.82919,6.18285,0.00059619,0.00059619,0.00059619
12,4761.99,1.35613,2.3565,1.72394,0.52344,0.50393,0.47388,0.31022,3.62668,2.78105,6.15124,0.000584409,0.000584409,0.000584409
13,5156.92,1.36205,2.3081,1.7231,0.45578,0.53962,0.41807,0.29048,3.59273,2.66007,6.33357,0.000572628,0.000572628,0.000572628
14,5552.47,1.33212,2.30201,1.71449,0.50148,0.54828,0.43365,0.29729,3.57594,2.547,6.5796,0.000560847,0.000560847,0.000560847
15,5947.49,1.33035,2.24969,1.70138,0.44255,0.6603,0.49018,0.34451,3.58782,2.63892,6.75888,0.000549066,0.000549066,0.000549066
16,6343.04,1.3272,2.22668,1.70706,0.33579,0.60985,0.39033,0.28717,3.55259,2.47473,6.49704,0.000537285,0.000537285,0.000537285
17,6738.26,1.32249,2.25265,1.69888,0.5384,0.5452,0.38685,0.27727,3.53646,2.55122,6.35213,0.000525504,0.000525504,0.000525504
18,7135.37,1.30117,2.1878,1.66943,0.5038,0.66876,0.53617,0.39056,3.56732,2.41871,6.40598,0.000513723,0.000513723,0.000513723
19,7530.68,1.30462,2.19843,1.69534,0.38224,0.6425,0.39149,0.28022,3.5756,2.43556,6.57237,0.000501942,0.000501942,0.000501942
20,7925.6,1.277,2.15462,1.66674,0.43666,0.67964,0.45998,0.32458,3.5726,2.25722,6.1003,0.000490161,0.000490161,0.000490161
21,8320.79,1.27803,2.1227,1.66633,0.43443,0.59013,0.49696,0.35928,3.5678,2.29652,6.77257,0.00047838,0.00047838,0.00047838
22,8715.91,1.28472,2.15711,1.67019,0.41443,0.62407,0.48865,0.34119,3.53329,2.2127,6.31658,0.000466599,0.000466599,0.000466599
