epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.299,2.14104,3.90076,2.41836,0.81602,0.06563,0.0382,0.0187,3.52733,4.92585,4.49111,0.000235733,0.000235733,0.000235733
2,411.25,1.68776,3.46467,2.05534,0.86642,0.09004,0.07657,0.03711,3.50135,5.0312,5.16773,0.000465917,0.000465917,0.000465917
3,611.255,1.63105,3.25887,1.9979,0.88198,0.07187,0.08515,0.03847,3.517,4.58666,6.0862,0.000688246,0.000688246,0.000688246
4,811.246,1.63619,3.14531,1.99216,0.63562,0.17292,0.14592,0.07045,3.73679,4.81899,5.54983,0.000678657,0.000678657,0.000678657
5,1011.06,1.59538,3.08008,1.95374,0.62151,0.13854,0.07937,0.04291,3.62805,4.03008,6.15842,0.000666876,0.000666876,0.000666876
6,1210.99,1.56699,2.97325,1.93131,0.75775,0.15729,0.10005,0.04509,3.82323,4.33073,5.74842,0.000655095,0.000655095,0.000655095
7,1410.65,1.55351,2.93276,1.91036,0.85854,0.12187,0.12409,0.06557,3.5549,3.16109,5.72195,0.000643314,0.000643314,0.000643314
8,1610.37,1.54053,2.92775,1.90632,0.46698,0.14375,0.14575,0.08673,3.57284,3.27476,5.66357,0.000631533,0.000631533,0.000631533
9,1810.04,1.50365,2.83175,1.87504,0.43299,0.22854,0.14437,0.07971,3.60929,3.45491,5.90373,0.000619752,0.000619752,0.000619752
10,2009.79,1.48116,2.79432,1.8609,0.44837,0.21837,0.23107,0.11919,3.5882,3.27622,5.92535,0.000607971,0.000607971,0.000607971
11,2209.82,1.47276,2.75651,1.84547,0.41903,0.30633,0.23769,0.14385,3.55702,3.29372,5.41864,0.00059619,0.00059619,0.00059619
12,2409.44,1.46312,2.73512,1.845,0.60577,0.26667,0.2592,0.17282,3.58482,2.96426,5.22284,0.000584409,0.000584409,0.000584409
13,2609.04,1.47274,2.68559,1.82904,0.44194,0.1902,0.21729,0.1192,3.70989,3.0354,5.76347,0.000572628,0.000572628,0.000572628
14,2808.68,1.45039,2.63931,1.80807,0.38496,0.42146,0.29943,0.19643,3.55039,2.89264,6.23834,0.000560847,0.000560847,0.000560847
15,3008.43,1.43761,2.61258,1.81614,0.54263,0.34479,0.31305,0.18485,3.5667,3.13574,5.87253,0.000549066,0.000549066,0.000549066
16,3208.05,1.41401,2.60326,1.79313,0.51468,0.30792,0.26458,0.16604,3.52446,2.87009,5.77789,0.000537285,0.000537285,0.000537285
17,3407.6,1.41725,2.56926,1.80025,0.48883,0.26818,0.31747,0.21279,3.48025,2.60942,5.58331,0.000525504,0.000525504,0.000525504
18,3607.23,1.4149,2.59296,1.79865,0.33935,0.39442,0.36009,0.2459,3.55304,2.5419,6.31658,0.000513723,0.000513723,0.000513723
