epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.227,1.93956,3.44223,2.21642,0.00014,0.0415,0.00035,0.00015,5.71874,9.64661,19.4229,0.0702013,0.00331096,0.00331096
2,596.397,1.85749,3.30441,2.13656,0.00121,0.45,0.00238,0.00106,3.55652,4.68011,5.93159,0.0401465,0.00658948,0.00658948
3,896.322,1.81472,3.22965,2.11125,0.70755,0.12014,0.01776,0.00699,4.13598,5.43253,8.35692,0.0100367,0.009813,0.009813
4,1196.24,1.76984,3.13395,2.06664,0.81399,0.0991,0.04755,0.02207,3.89334,4.38957,8.16275,0.0097525,0.0097525,0.0097525
5,1495.37,1.74704,3.06571,2.0415,0.61206,0.0979,0.02894,0.01197,4.47858,4.48511,8.55881,0.00967,0.00967,0.00967
6,1791.86,1.67474,2.97999,1.99518,0.82265,0.14796,0.09653,0.06027,3.91962,4.39825,8.16275,0.0095875,0.0095875,0.0095875
7,2086.78,1.67006,2.97019,1.96914,0.71681,0.1129,0.06301,0.03279,4.11264,4.02773,7.19962,0.009505,0.009505,0.009505
8,2382,1.65209,2.9575,1.9682,0.71377,0.13009,0.07302,0.03094,4.24296,4.06272,7.52215,0.0094225,0.0094225,0.0094225
9,2677.42,1.63566,2.91865,1.95309,0.7634,0.17574,0.06076,0.03542,3.82969,4.05223,7.77266,0.00934,0.00934,0.00934
10,2979.84,1.62868,2.87939,1.9389,0.82889,0.10724,0.08588,0.04619,4.1396,4.08448,7.63157,0.0092575,0.0092575,0.0092575
11,3282.05,1.61976,2.88538,1.92916,0.82928,0.06803,0.08213,0.0455,3.95056,4.61714,6.43337,0.009175,0.009175,0.009175
12,3586.82,1.61061,2.87462,1.92163,0.838,0.12672,0.10025,0.05737,3.96011,4.7716,7.07724,0.0090925,0.0090925,0.0090925
13,3890.89,1.59887,2.86415,1.91799,0.62014,0.23686,0.03996,0.02031,4.01947,4.29057,6.98457,0.00901,0.00901,0.00901
14,4194.35,1.61429,2.85672,1.92016,0.71532,0.11878,0.04427,0.02371,4.33153,3.90122,7.00033,0.0089275,0.0089275,0.0089275
15,4497.71,1.58682,2.82658,1.90137,0.71897,0.18502,0.07995,0.04505,3.95974,3.72043,7.28442,0.008845,0.008845,0.008845
16,4797.24,1.56596,2.80532,1.888,0.64285,0.17541,0.07369,0.04063,4.14307,3.96761,7.79896,0.0087625,0.0087625,0.0087625
17,5087.75,1.56855,2.83261,1.8862,0.83619,0.15746,0.15432,0.09481,3.94023,3.77349,6.51089,0.00868,0.00868,0.00868
18,5378.06,1.56742,2.79511,1.88573,0.94376,0.06923,0.09834,0.06063,3.85292,4.91875,6.62617,0.0085975,0.0085975,0.0085975
19,5667.95,1.55394,2.7939,1.87608,0.61988,0.16109,0.15589,0.07665,4.09998,3.52857,7.55376,0.008515,0.008515,0.008515
20,5957.68,1.55214,2.77307,1.87001,0.63573,0.20527,0.09233,0.05425,3.98039,3.82752,7.06714,0.0084325,0.0084325,0.0084325
21,6247.49,1.51679,2.75974,1.85337,0.75735,0.18302,0.18281,0.09955,3.95853,3.95256,7.06919,0.00835,0.00835,0.00835
22,6536.91,1.5413,2.77836,1.8681,0.74962,0.0956,0.0932,0.05566,4.00808,3.82126,7.42138,0.0082675,0.0082675,0.0082675
23,6826.68,1.53211,2.76736,1.85392,0.72801,0.193,0.09296,0.05838,3.77388,3.84576,6.66414,0.008185,0.008185,0.008185
24,7116,1.49662,2.74869,1.84166,0.86351,0.06509,0.11355,0.06984,3.67255,3.87431,6.2921,0.0081025,0.0081025,0.0081025
25,7405.4,1.51336,2.73798,1.85363,0.63781,0.24988,0.09373,0.05654,3.94979,4.37782,7.45438,0.00802,0.00802,0.00802
26,7694.87,1.49345,2.72483,1.83445,0.64207,0.20373,0.12617,0.07939,3.95278,3.59777,7.88233,0.0079375,0.0079375,0.0079375
27,7984.19,1.48292,2.71929,1.82,0.76757,0.15766,0.18155,0.106,3.86472,3.86962,7.34831,0.007855,0.007855,0.007855
28,8273.49,1.50638,2.7039,1.83882,0.64901,0.1542,0.10667,0.06133,3.96339,3.56729,6.81595,0.0077725,0.0077725,0.0077725
29,8563.07,1.50087,2.67963,1.83701,0.65204,0.21571,0.12779,0.07727,3.85382,3.70687,7.17168,0.00769,0.00769,0.00769
30,8852.17,1.47525,2.66962,1.81025,0.78978,0.16425,0.16382,0.10103,3.87237,3.63852,7.43047,0.0076075,0.0076075,0.0076075
31,9141.26,1.46667,2.68424,1.81005,0.74726,0.1294,0.10181,0.0591,3.8706,3.83699,7.09179,0.007525,0.007525,0.007525
32,9430.75,1.47475,2.66689,1.81265,0.53612,0.18284,0.09383,0.057,3.90098,3.34498,7.49092,0.0074425,0.0074425,0.0074425
33,9719.98,1.47443,2.66998,1.82001,0.66264,0.23953,0.21587,0.14227,3.72217,3.57074,6.95625,0.00736,0.00736,0.00736
34,10009.3,1.48183,2.68653,1.82249,0.6512,0.21811,0.18678,0.11447,3.8055,3.50137,6.62834,0.0072775,0.0072775,0.0072775
35,10298.5,1.47644,2.64912,1.81734,0.64485,0.19032,0.09494,0.05891,3.85958,3.11683,6.90779,0.007195,0.007195,0.007195
36,10587.7,1.44958,2.66139,1.80252,0.64543,0.24567,0.14932,0.10154,3.85721,3.18668,7.68201,0.0071125,0.0071125,0.0071125
37,10877.1,1.46248,2.64809,1.80618,0.65485,0.20498,0.11759,0.07676,3.99959,3.47122,7.30283,0.00703,0.00703,0.00703
38,11166.9,1.43639,2.62767,1.78698,0.54092,0.20252,0.1037,0.06503,3.76116,3.36422,6.90456,0.0069475,0.0069475,0.0069475
39,11456.3,1.44521,2.62586,1.79569,0.36312,0.24798,0.13512,0.07548,3.85746,3.37912,7.00544,0.006865,0.006865,0.006865
40,11745.8,1.44041,2.62211,1.79108,0.78381,0.1566,0.14402,0.09893,3.8735,3.40037,7.00855,0.0067825,0.0067825,0.0067825
41,12035.6,1.44478,2.62449,1.79235,0.79126,0.1355,0.14382,0.09634,3.83562,3.67067,7.32659,0.0067,0.0067,0.0067
42,12325,1.44539,2.60379,1.79162,0.57412,0.2179,0.15464,0.09997,3.91515,3.36177,6.96452,0.0066175,0.0066175,0.0066175
43,12614.5,1.42086,2.59646,1.78538,0.59054,0.21543,0.13895,0.08898,3.85792,3.43288,7.60838,0.006535,0.006535,0.006535
