epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.593,2.1982,4.87203,2.45885,0.40614,0.24,0.05212,0.0205,3.75015,9.88399,5.6441,0.000233825,0.000233825,0.000233825
2,608.165,1.70429,3.27592,2.02694,0.13763,0.185,0.0613,0.02936,3.78884,7.75743,5.31043,0.000456254,0.000456254,0.000456254
3,910.073,1.70681,3.13383,1.99998,0.13247,0.21071,0.03221,0.01095,4.91781,6.50101,7.23986,0.000662976,0.000662976,0.000662976
4,1203.77,1.65652,3.07189,1.96455,0.32295,0.18286,0.08008,0.03741,3.9106,5.40806,6.33592,0.000643314,0.000643314,0.000643314
5,1497.42,1.68569,3.0255,1.97435,0.36039,0.33838,0.18725,0.07763,4.51877,5.37136,6.9536,0.000619752,0.000619752,0.000619752
6,1790.51,1.66346,3.02888,1.95208,0.66638,0.18286,0.23175,0.12601,3.93805,5.44545,5.2148,0.00059619,0.00059619,0.00059619
7,2081.52,1.60097,2.92861,1.90847,0.47233,0.31143,0.27351,0.17707,3.74953,4.19804,6.03848,0.000572628,0.000572628,0.000572628
8,2372.58,1.58047,2.91169,1.89153,0.38363,0.21357,0.17815,0.12585,3.67089,3.47887,5.3841,0.000549066,0.000549066,0.000549066
9,2662.79,1.60683,2.83796,1.90177,0.40108,0.2716,0.27972,0.15879,3.81213,4.14813,5.88277,0.000525504,0.000525504,0.000525504
10,2952.74,1.59178,2.79312,1.89366,0.39884,0.28786,0.219,0.12207,3.79494,3.64444,5.975,0.000501942,0.000501942,0.000501942
11,3243.48,1.54858,2.79586,1.875,0.27787,0.28045,0.175,0.10446,3.91215,3.99303,6.1541,0.00047838,0.00047838,0.00047838
12,3533.79,1.53597,2.72916,1.85842,0.48164,0.36786,0.27249,0.16717,3.78732,3.8561,6.00909,0.000454818,0.000454818,0.000454818
13,3823.66,1.50736,2.71465,1.84802,0.27886,0.41643,0.31248,0.16515,3.92921,3.61391,5.92315,0.000431256,0.000431256,0.000431256
14,4114.13,1.49569,2.624,1.83145,0.41788,0.3445,0.33718,0.20001,3.85163,3.62603,5.62474,0.000407694,0.000407694,0.000407694
15,4404.73,1.49656,2.58812,1.82475,0.41829,0.5208,0.40171,0.25735,3.76392,3.19754,5.76122,0.000384132,0.000384132,0.000384132
16,4694.72,1.47532,2.58049,1.80788,0.42013,0.44242,0.37394,0.23384,3.89,3.00572,5.81078,0.00036057,0.00036057,0.00036057
17,4984.78,1.45263,2.51915,1.78699,0.40632,0.39204,0.33385,0.23581,3.81974,3.02905,5.63873,0.000337008,0.000337008,0.000337008
18,5274.78,1.46244,2.48189,1.77722,0.20303,0.50429,0.31236,0.21839,3.88047,3.25026,5.59552,0.000313446,0.000313446,0.000313446
19,5565.07,1.42762,2.46157,1.76737,0.36926,0.48214,0.36372,0.2552,3.81624,3.01334,5.82236,0.000289884,0.000289884,0.000289884
20,5855.28,1.42607,2.43256,1.76181,0.33819,0.56958,0.45263,0.31589,3.76488,2.62517,5.72835,0.000266322,0.000266322,0.000266322
21,6144.47,1.12049,2.12775,1.61503,0.29157,0.62293,0.41665,0.30103,3.72501,2.82465,5.95412,0.00024276,0.00024276,0.00024276
22,6433.54,1.09553,1.97686,1.58237,0.43551,0.69973,0.47651,0.31935,3.78623,2.50095,6.2651,0.000219198,0.000219198,0.000219198
23,6722.91,1.0735,1.88489,1.57308,0.36149,0.65987,0.47874,0.35071,3.78538,2.48206,6.00974,0.000195636,0.000195636,0.000195636
24,7013,1.0451,1.83614,1.54596,0.42609,0.56806,0.47908,0.34215,3.68431,2.47357,5.83727,0.000172074,0.000172074,0.000172074
25,7301.5,1.00862,1.73156,1.5239,0.41243,0.5853,0.51844,0.35886,3.70999,2.38034,6.05888,0.000148512,0.000148512,0.000148512
26,7589.93,0.97349,1.68842,1.49948,0.37239,0.71756,0.50562,0.35446,3.71745,2.44469,6.27037,0.00012495,0.00012495,0.00012495
27,7878.78,0.96457,1.62364,1.48402,0.47469,0.57134,0.52527,0.37122,3.69421,2.36676,6.27531,0.000101388,0.000101388,0.000101388
28,8167.55,0.92496,1.56871,1.45241,0.44675,0.61103,0.52702,0.37269,3.68908,2.35838,6.35255,7.7826e-05,7.7826e-05,7.7826e-05
29,8456.41,0.89712,1.52563,1.42761,0.47507,0.61629,0.52428,0.37462,3.68667,2.35168,6.38829,5.4264e-05,5.4264e-05,5.4264e-05
30,8745.6,0.90827,1.52169,1.43859,0.47437,0.63825,0.55674,0.4148,3.68062,2.30408,6.38557,3.0702e-05,3.0702e-05,3.0702e-05
